Year,Month,State,Genus Species,Serotype or Genotype,Etiology Status,Location of Preparation,Illnesses,Hospitalizations,Deaths,Food Vehicle,Contaminated Ingredient
2009,1,Minnesota,Norovirus,,Suspected,Restaurant - Sit-down dining,2,0,0,,
2009,1,Minnesota,Norovirus,,Confirmed,,16,0,0,,
2009,1,Minnesota,Norovirus,,Suspected,Restaurant - Sit-down dining,5,0,0,,
2009,1,Minnesota,Norovirus,,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",3,0,0,,
2009,1,Minnesota,Norovirus,,Confirmed,Restaurant - other or unknown type,21,0,0,cookies,
2009,1,Minnesota,Norovirus,,Confirmed,Restaurant - other or unknown type,7,0,0,"salad, unspecified",
2009,2,Minnesota,Norovirus,,Confirmed,Restaurant - other or unknown type,5,0,0,,
2009,2,Minnesota,Norovirus Genogroup II,,Suspected,Restaurant - other or unknown type,22,1,0,mushrooms; pasta salad; fruit,
2009,2,Minnesota,Norovirus,,Confirmed,Restaurant - other or unknown type,16,0,0,vegetables,
2009,2,Minnesota,Campylobacter jejuni,,Confirmed,Restaurant - other or unknown type,11,2,0,"lettuce, unspecified",
2009,2,Minnesota,Norovirus,,Confirmed,Restaurant - Sit-down dining,6,0,0,,
2009,2,Alaska,Norovirus Genogroup I; Norovirus Genogroup II,,Confirmed; Confirmed,Private home/residence,35,0,0,,
2009,1,Alabama,Bacillus cereus,,Confirmed,Restaurant - Sit-down dining,13,0,0,"rice, white",rice
2009,1,Illinois,Norovirus Genogroup II,,Suspected,Restaurant - Sit-down dining,6,0,0,,
2009,1,Illinois,Norovirus Genogroup II,,Suspected,Restaurant - Sit-down dining,23,0,0,,
2009,1,Illinois,,,,Restaurant - other or unknown type,4,0,0,,
2009,1,Illinois,,,,Caterer (food prepared off-site from where served),31,0,0,,
2009,1,Illinois,Norovirus Genogroup II,,Confirmed,Restaurant - other or unknown type,26,1,0,"cake, chocolate",
2009,1,Illinois,,,,Restaurant - other or unknown type,2,0,0,,
2009,1,Illinois,,,,Restaurant - other or unknown type,4,0,0,,
2009,1,Illinois,Salmonella enterica,Enteritidis,Confirmed,Grocery store; Other (describe in remarks),7,2,0,,
2009,1,Illinois,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,16,0,0,,
2009,1,Illinois,,,,Restaurant - other or unknown type,5,0,0,,
2009,2,Illinois,Norovirus Genogroup II,,Suspected,Other (describe in remarks),51,0,0,,
2009,2,Illinois,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,10,0,0,,
2009,2,Illinois,,,,Restaurant - other or unknown type,3,0,0,,
2009,2,Illinois,,,,Restaurant - other or unknown type,5,0,0,,
2009,2,Illinois,Norovirus Genogroup II,,Confirmed,Restaurant - other or unknown type,13,0,0,,
2009,3,Illinois,,,,Other (describe in remarks),2,0,0,,
2009,3,Illinois,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining; Caterer (food prepared off-site from where served),22,1,0,chicken salad,
2009,1,Pennsylvania,Campylobacter jejuni,,Confirmed,Other (describe in remarks),9,1,0,"milk, whole milk unpasteurized",
2009,1,Tennessee,Norovirus Genogroup I,,Confirmed,Grocery store,8,1,0,cake,
2009,3,Tennessee,Norovirus Genogroup I,,Confirmed,Restaurant - Sit-down dining,9,0,0,"oysters, raw",oysters
2009,3,New York,Shigella sonnei,,Confirmed,Restaurant - Sit-down dining,96,0,0,multiple foods,lemon; lime
2009,1,Massachusetts,Salmonella enterica,Braenderup,Confirmed,Restaurant - Sit-down dining,5,0,0,,
2009,1,Massachusetts,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Private home/residence,3,2,0,"ground beef, hamburger",
2009,1,Massachusetts,,,,Banquet Facility (food prepared and served on-site),32,0,0,salads; tomatoes; vegetables,
2009,1,Michigan,,,,Restaurant - other or unknown type,15,0,0,"burrito, chicken",
2009,2,New York,Norovirus unknown,,Confirmed,Restaurant - other or unknown type; Caterer (food prepared off-site from where served),24,0,0,lettuce,lettuce
2009,2,Massachusetts,Salmonella enterica,"I 4,[5],12:i:-",Confirmed,,2,0,0,,
2009,1,Tennessee,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,22,4,0,"oysters, raw",
2009,1,Tennessee,Norovirus Genogroup I,,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",6,0,0,,
2009,1,New York,,,,Restaurant - Sit-down dining,6,0,0,"ground beef, other",beef
2009,1,Florida,Norovirus Genogroup I,,Confirmed,Restaurant - other or unknown type,24,0,0,"sandwich, wrap; sandwich, wrap",
2009,2,New York,Norovirus,,Confirmed,Restaurant - Sit-down dining,51,1,0,"ground beef, gravy, toast, egg dish",
2009,2,New York,,,,Restaurant - Sit-down dining,9,1,0,,
2009,2,New York,,,,Restaurant - Sit-down dining,12,0,0,,
2009,1,Florida,,,,Restaurant - Sit-down dining,15,0,0,macaroni salad,
2009,2,Florida,Norovirus Genogroup II,,Confirmed,Long-term care/nursing home/assisted living facility,13,2,0,"cookies, unspecified",
2009,3,New York,Staphylococcus aureus,,Confirmed,Private home/residence,20,0,0,chicken yak,
2009,2,Wyoming,Norovirus Genogroup II,,Confirmed,,13,0,0,,
2009,3,Illinois,Norovirus,,Confirmed,Private home/residence; Caterer (food prepared off-site from where served); School/college/university,189,1,0,"ice; lemonade, unspecified",
2009,3,Illinois,Salmonella enterica,Typhimurium,Confirmed,Restaurant - Sit-down dining,6,0,0,,
2009,3,Illinois,Campylobacter jejuni; Listeria monocytogenes,,Confirmed; Confirmed,Private home/residence,6,1,0,,
2009,3,Illinois,Norovirus Genogroup II,,Confirmed,Restaurant - other or unknown type,27,0,0,,
2009,4,Illinois,Clostridium perfringens,,Confirmed,Private home/residence; Banquet Facility (food prepared and served on-site),24,0,0,"spaghetti, unspecified",
2009,3,Illinois,Salmonella enterica,Enteritidis,Confirmed,Grocery store,5,0,0,,
2009,2,Massachusetts,,,,Restaurant - Sit-down dining,9,0,0,,
2009,3,Michigan,,,,Restaurant - Sit-down dining,14,1,0,salads,chicken
2009,3,Ohio,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter)",3,0,0,"cheese; deli meat, sliced turkey","deli meat, sliced turkey"
2009,1,Michigan,,,,Restaurant - other or unknown type,18,0,0,turkey,
2009,1,Wisconsin,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,16,0,0,fruit,
2009,1,Wisconsin,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,5,0,0,,
2009,2,Wisconsin,Clostridium perfringens,,Confirmed,Restaurant - Sit-down dining,90,0,0,"beef, brisket",
2009,3,Ohio,Norovirus Genogroup II,GII_4 New Orleans (2009),Confirmed,Banquet Facility (food prepared and served on-site),20,0,0,,
2009,3,Florida,,,,,5,1,0,,
2009,1,New Hampshire,Norovirus Genogroup II,,Suspected,Office/indoor workplace,11,0,0,fruit-based salads,
2009,3,Arkansas,Salmonella enterica,Typhimurium,Confirmed,,5,3,0,,
2009,2,Missouri,,,,Restaurant - Sit-down dining,17,0,0,"cake, tiramisu",
2009,3,Idaho,Clostridium perfringens,,Confirmed,Private home/residence,8,0,0,"chicken, other",
2009,4,Minnesota,Norovirus,,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",15,0,0,"sandwich, unspecified",
2009,4,Ohio,,,,Restaurant - Sit-down dining,3,0,0,,
2009,4,Ohio,,,,,2,0,0,,
2009,3,Wisconsin,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,23,0,0,,
2009,3,Florida,,,,Restaurant - Sit-down dining,4,0,0,ice; chicken,
2009,3,Michigan,,,,Restaurant - other or unknown type,12,0,0,,
2009,3,Michigan,Norovirus Genogroup II,,Confirmed,Restaurant - other or unknown type; Banquet Facility (food prepared and served on-site),131,2,0,"salad, unspecified",
2009,3,Michigan,,,,Restaurant - other or unknown type,9,,0,,
2009,4,Ohio,,,,Restaurant - Sit-down dining,3,0,0,,
2009,2,Ohio,Norovirus Genogroup I,,Confirmed,Caterer (food prepared off-site from where served),70,1,0,egg salad/egg salad sandwich,
