Year,Month,State,Location,Food,Ingredient,Species,Serotype/Genotype,Status,Illnesses,Hospitalizations,Fatalities
1998,January,California,Restaurant,,,,,,20,0,0
1998,January,California,,Custard,,,,,112,0,0
1998,January,California,Restaurant,,,,,,35,0,0
1998,January,California,Restaurant,"Fish, Ahi",,Scombroid toxin,,Confirmed,4,0,0
1998,January,California,Private Home/Residence,"Lasagna, Unspecified; Eggs, Other",,Salmonella enterica,Enteritidis,Confirmed,26,3,0
1998,January,California,Restaurant,,,Shigella boydii,,Confirmed,25,3,0
1998,January,California,Restaurant,,,,,,8,0,0
1998,January,California,Restaurant,"Stuffing, Unspecified; Sandwich, Turkey",,Salmonella enterica,Enteritidis,Confirmed,4,3,0
1998,January,Colorado,Restaurant,"Salad, Unspecified",,Virus,,Suspected,21,,
1998,January,Colorado,Restaurant,"Peppers, Chili",,Virus,,Suspected,3,,0
1998,January,Colorado,Grocery Store,,,Virus,,Suspected,8,,
1998,January,Colorado,Restaurant,,,Virus,,Suspected,28,,0
1998,January,Colorado,Private Home/Residence,,,Virus,,Suspected,10,,
1998,January,Florida,Restaurant,Chicken Salad,,,,,2,,
1998,January,Florida,Restaurant,"Hot Dog, Kielbasa",,,,,3,0,0
1998,January,Florida,Restaurant,"Ethnic Style, Unspecified",,Clostridium perfringens,,Suspected,3,0,0
1998,January,Florida,Restaurant,Greek Salad,,Norovirus genogroup I,,Suspected,2,,
1998,January,Florida,Restaurant,"Ground Beef, Cheeseburger",,Staphylococcus aureus,,Suspected,2,0,0
1998,January,Florida,Restaurant,"Pasta, Unspecified",,Bacillus cereus,,Suspected,2,0,0
1998,January,Florida,Restaurant,"Sauces, Unspecified; Tuna, Unspecified",,Scombroid toxin,,Suspected,2,2,0
1998,January,Florida,Restaurant,"Sandwich, Chicken",,Campylobacter unknown,,Confirmed,3,1,0
1998,January,Florida,Restaurant,"Chicken, Unspecified",,,,,3,0,0
1998,January,Florida,Restaurant,"Chicken, Fried",,Bacillus cereus,,Suspected,5,0,0
1998,January,Florida,Restaurant,"Doughnuts, Unspecified",,,,,3,0,0
1998,January,Florida,Restaurant,"Tomato Sauce, Unspecified",,,,,5,0,0
1998,January,Florida,Restaurant,"Steak, Unspecified",,,,,2,0,0
1998,January,Florida,Restaurant,Unknown Food,,,,,2,0,0
1998,January,Florida,Restaurant,"Chicken, Nuggets/Fingers; French Fries; Soda, Unspecified",,,,,2,1,0
1998,January,Florida,Private Home/Residence,"Turkey, Unspecified",,,,,18,5,0
1998,January,Florida,Restaurant,"Steak, Unspecified",,,,,2,0,0
1998,January,Florida,Grocery Store,"Pork, Unspecified",,,,,2,0,0
1998,January,Florida,Restaurant,"Salmon, Raw; Tuna, Raw",,Campylobacter unknown,,Suspected,3,,
1998,January,Guam,Private Home/Residence,"Other Milk, Unspecified",,,,,2,,
1998,January,Guam,Restaurant,"Chicken, Unspecified",,Vibrio parahaemolyticus,,Confirmed,47,0,0
1998,January,Hawaii,Private Home/Residence,"Fish, Grouper, Unspecified",,Ciguatoxin,,Confirmed,3,0,0
1998,January,Hawaii,Private Home/Residence,"Fish, Mahi Mahi",,Scombroid toxin,,Confirmed,2,0,0
1998,January,Hawaii,Restaurant,"Fish, Ahi",,Scombroid toxin,,Confirmed,2,0,0
1998,January,Illinois,Restaurant,,,,,,4,0,0
1998,January,Illinois,,,,,,,11,0,0
1998,January,Illinois,Restaurant,,,,,,4,1,
1998,January,Indiana,Restaurant,,,Shigella flexneri,Serotype 6,Confirmed,25,3,0
1998,January,Maryland,Private Home/Residence,"Ground Beef, Unspecified",,,,,3,,0
1998,January,Maryland,Restaurant,Chicken Salad,,Clostridium perfringens,,Suspected,3,0,0
1998,January,Maryland,Restaurant,"Burrito, Chicken",,Salmonella enterica,Enteritidis,Confirmed,4,0,0
